preço,endereço,área,quartos,vagas,bairro
R$ 820.000,Rua Paraguassu,104 m²,3 quartos,1 vaga, Perdizes
R$ 650.000,Rua Doutor Cândido Espinheira,94 m²,3 quartos,1 vaga, Perdizes
R$ 1.750.000,Rua Monte Alegre,180 m²,4 quartos,3 vagas, Perdizes
R$ 900.000,Rua Traipu,120 m²,3 quartos,2 vagas, Perdizes
R$ 980.000,Rua Ministro Godói,141 m²,2 quartos,1 vaga, Perdizes
"R$ 655.301,29",Rua Ministro Godói,80 m²,2 quartos,1 vaga, Perdizes
R$ 800.000,Avenida Pompéia,111 m²,2 quartos,1 vaga, Perdizes
R$ 690.000,Rua Cardoso de Almeida,107 m²,2 quartos,1 vaga, Perdizes
R$ 1.125.000,Rua Doutor Homem de Melo,125 m²,3 quartos,2 vagas, Perdizes
R$ 1.100.000,Rua Bartira,145 m²,3 quartos,2 vagas, Perdizes
R$ 695.000,Rua Venâncio Aires,100 m²,2 quartos,1 vaga, Perdizes
R$ 1.062.000,Rua Wanderley,118 m²,2 quartos,1 vaga, Perdizes
R$ 1.750.000,Rua dos Caetés,140 m²,1 quarto,2 vagas, Perdizes
R$ 750.000,Rua Cotoxó,120 m²,2 quartos,1 vaga, Perdizes
R$ 700.000,Rua Venâncio Aires,103 m²,3 quartos,1 vaga, Perdizes
R$ 750.000,Rua Bartira,107 m²,3 quartos,1 vaga, Perdizes
R$ 1.550.000,Rua João Ramalho,154 m²,3 quartos,1 vaga, Perdizes
R$ 800.000,Rua Padre Antônio Tomás,144 m²,3 quartos,1 vaga, Perdizes
R$ 690.000,Rua Apiacás,86 m²,3 quartos,1 vaga, Perdizes
R$ 1.160.000,Rua Cardoso de Almeida,136 m²,3 quartos,1 vaga, Perdizes
R$ 690.000,Rua Doutor Cândido Espinheira,94 m²,3 quartos,2 vagas, Perdizes
R$ 580.000,Rua João Ramalho,71 m²,3 quartos,1 vaga, Perdizes
R$ 695.000,Rua Apiacás,85 m²,2 quartos,1 vaga, Perdizes
R$ 580.000,Rua Turiassu,95 m²,3 quartos,1 vaga, Perdizes
R$ 1.900.000,Rua Lincoln Albuquerque,167 m²,3 quartos,3 vagas, Perdizes
R$ 800.000,Rua Venâncio Aires,110 m²,3 quartos,1 vaga, Perdizes
R$ 1.950.000,Rua Apinajés,173 m²,3 quartos,4 vagas, Perdizes
R$ 700.000,Rua Apiacás,86 m²,3 quartos,1 vaga, Perdizes
"R$ 696.312,94",Avenida Sumaré,110 m²,2 quartos,Sem vaga, Perdizes
R$ 720.000,Rua Cayowaá,94 m²,2 quartos,1 vaga, Perdizes
R$ 970.000,Rua Cardoso de Almeida,127 m²,3 quartos,2 vagas, Perdizes
R$ 590.000,Rua Apiacás,50 m²,1 quarto,1 vaga, Perdizes
R$ 1.590.000,Rua Piracuama,134 m²,3 quartos,3 vagas, Perdizes
R$ 1.430.000,Rua Cardoso de Almeida,213 m²,3 quartos,1 vaga, Perdizes
R$ 1.240.000,Rua Monte Alegre,138 m²,4 quartos,1 vaga, Perdizes
R$ 580.000,Largo Padre Péricles,123 m²,3 quartos,Sem vaga, Perdizes
R$ 740.000,Rua Barão de Tefé,106 m²,3 quartos,1 vaga, Perdizes
R$ 1.300.000,Rua Bartira,236 m²,4 quartos,1 vaga, Perdizes
R$ 1.380.000,Rua Cardoso de Almeida,182 m²,3 quartos,1 vaga, Perdizes
R$ 425.000,Avenida Francisco Matarazzo,73 m²,2 quartos,Sem vaga, Perdizes
R$ 594.000,Rua Tucuna,74 m²,2 quartos,2 vagas, Perdizes
R$ 400.000,Rua Cayowaá,37 m²,1 quarto,Sem vaga, Perdizes
R$ 980.000,Rua Iperoig,91 m²,3 quartos,2 vagas, Perdizes
R$ 851.000,Rua Tucuna,97 m²,3 quartos,2 vagas, Perdizes
"R$ 685.052,38",Rua Tagipuru,80 m²,3 quartos,1 vaga, Perdizes
R$ 1.600.000,Rua Cardoso de Almeida,220 m²,3 quartos,2 vagas, Perdizes
R$ 3.500.000,Avenida Pompéia,434 m²,4 quartos,2 vagas, Perdizes
R$ 730.000,Rua Doutor Homem de Melo,92 m²,2 quartos,1 vaga, Perdizes
R$ 880.000,Rua Barão de Tefé,106 m²,3 quartos,1 vaga, Perdizes
R$ 541.000,Rua Ciro Costa,89 m²,3 quartos,Sem vaga, Perdizes
R$ 1.960.000,Rua Itapicuru,312 m²,3 quartos,1 vaga, Perdizes
R$ 710.000,Rua Iperoig,73 m²,2 quartos,1 vaga, Perdizes
R$ 370.000,Avenida Francisco Matarazzo,51 m²,2 quartos,Sem vaga, Perdizes
R$ 1.300.000,Rua Cayowaá,131 m²,3 quartos,3 vagas, Perdizes
R$ 1.390.000,Rua Desembargador do Vale,156 m²,4 quartos,1 vaga, Perdizes
R$ 850.000,Rua Barão de Tefé,108 m²,3 quartos,1 vaga, Perdizes
R$ 750.000,Avenida Sumaré,109 m²,3 quartos,Sem vaga, Perdizes
R$ 1.300.000,Rua Cardoso de Almeida,150 m²,3 quartos,2 vagas, Perdizes
R$ 550.000,Rua Turiassu,45 m²,2 quartos,1 vaga, Perdizes
R$ 520.000,Rua Palestra Itália,33 m²,1 quarto,1 vaga, Perdizes
"R$ 738.923,28",Rua João Ramalho,50 m²,1 quarto,1 vaga, Perdizes
R$ 585.000,Avenida Francisco Matarazzo,28 m²,1 quarto,Sem vaga, Perdizes
R$ 290.000,Avenida General Olímpio da Silveira,49 m²,1 quarto,Sem vaga, Perdizes
R$ 750.000,Rua Venâncio Aires,102 m²,2 quartos,1 vaga, Perdizes
R$ 1.120.000,Rua Paraguassu,140 m²,3 quartos,1 vaga, Perdizes
R$ 5.000.000,Rua Monte Alegre,300 m²,4 quartos,5 vagas, Perdizes
R$ 650.000,Rua Diana,86 m²,2 quartos,1 vaga, Perdizes
"R$ 325.143,58",Rua Diana,33 m²,1 quarto,Sem vaga, Perdizes
R$ 715.000,Avenida Antártica,106 m²,3 quartos,1 vaga, Perdizes
R$ 530.000,Rua Turiassu,48 m²,Studio,1 vaga, Perdizes
R$ 1.380.000,Rua Monte Alegre,135 m²,4 quartos,1 vaga, Perdizes
R$ 750.000,Rua Monte Alegre,105 m²,3 quartos,1 vaga, Perdizes
R$ 680.000,Avenida Antártica,106 m²,3 quartos,1 vaga, Perdizes
R$ 1.000.000,Rua Itapicuru,118 m²,3 quartos,1 vaga, Perdizes
R$ 580.000,Rua Turiassu,69 m²,2 quartos,Sem vaga, Perdizes
R$ 370.000,Alameda Olga,38 m²,1 quarto,1 vaga, Perdizes
R$ 1.800.000,Rua Bartira,245 m²,4 quartos,1 vaga, Perdizes
R$ 970.000,Rua Tucuna,88 m²,3 quartos,2 vagas, Perdizes
R$ 2.300.000,Rua Tagipuru,161 m²,5 quartos,3 vagas, Perdizes
R$ 1.250.000,Rua Bartira,114 m²,3 quartos,3 vagas, Perdizes
R$ 580.000,Rua Apinajés,110 m²,3 quartos,Sem vaga, Perdizes
R$ 3.750.000,Rua João Ramalho,355 m²,3 quartos,3 vagas, Perdizes
R$ 730.000,Rua Minerva,95 m²,2 quartos,1 vaga, Perdizes
"R$ 337.824,25",Avenida Francisco Matarazzo,59 m²,2 quartos,Sem vaga, Perdizes
R$ 1.900.000,Rua Coronel Melo de Oliveira,167 m²,4 quartos,3 vagas, Perdizes
R$ 1.180.000,Rua Turiassu,121 m²,3 quartos,1 vaga, Perdizes
R$ 850.000,Rua Cardoso de Almeida,71 m²,2 quartos,1 vaga, Perdizes
R$ 760.373,Avenida Sumaré,110 m²,2 quartos,Sem vaga, Perdizes
R$ 1.350.000,Rua João Ramalho,140 m²,3 quartos,2 vagas, Perdizes
R$ 2.405.000,Rua dos Caetés,236 m²,3 quartos,3 vagas, Perdizes
R$ 780.000,Rua Diana,75 m²,3 quartos,2 vagas, Perdizes
R$ 800.000,Rua Tucuna,88 m²,3 quartos,2 vagas, Perdizes
R$ 850.000,Rua Aimberê,105 m²,3 quartos,1 vaga, Perdizes
R$ 1.365.000,Rua Apiacás,155 m²,3 quartos,3 vagas, Perdizes
R$ 1.000.000,Rua Cardoso de Almeida,137 m²,3 quartos,1 vaga, Perdizes
R$ 790.000,Rua Tucuna,60 m²,2 quartos,1 vaga, Perdizes
R$ 2.850.000,Rua Atibaia,378 m²,4 quartos,5 vagas, Perdizes
R$ 800.000,Rua Padre Antônio Tomás,114 m²,2 quartos,1 vaga, Perdizes
R$ 730.000,Rua Apiacás,56 m²,2 quartos,1 vaga, Perdizes
R$ 950.000,Rua Minerva,88 m²,3 quartos,1 vaga, Perdizes
R$ 2.126.000,Rua Paraguassu,240 m²,4 quartos,2 vagas, Perdizes
R$ 1.390.000,Rua João Ramalho,144 m²,4 quartos,2 vagas, Perdizes
R$ 1.300.000,Rua Caiubi,116 m²,3 quartos,1 vaga, Perdizes
R$ 630.000,Rua Cayowaá,70 m²,2 quartos,1 vaga, Perdizes
R$ 800.000,Rua Monte Alegre,99 m²,2 quartos,1 vaga, Perdizes
R$ 940.000,Rua Tucuna,100 m²,3 quartos,2 vagas, Perdizes
R$ 1.600.000,Rua Desembargador do Vale,174 m²,4 quartos,3 vagas, Perdizes
R$ 950.000,Avenida Professor Alfonso Bovero,116 m²,3 quartos,1 vaga, Perdizes
R$ 990.000,Rua Cardoso de Almeida,127 m²,3 quartos,2 vagas, Perdizes
R$ 2.350.000,Rua Caiubi,212 m²,4 quartos,4 vagas, Perdizes
R$ 750.000,Rua Venâncio Aires,133 m²,2 quartos,1 vaga, Perdizes
R$ 950.000,Rua Ministro Godói,141 m²,3 quartos,1 vaga, Perdizes
R$ 1.350.000,Rua Doutor Homem de Melo,182 m²,3 quartos,1 vaga, Perdizes
R$ 2.300.000,Rua Ministro Gastão Mesquita,230 m²,3 quartos,2 vagas, Perdizes
"R$ 1.079.864,11",Rua Cardoso de Almeida,135 m²,3 quartos,1 vaga, Perdizes
R$ 1.600.000,Rua Caraíbas,156 m²,4 quartos,2 vagas, Perdizes
R$ 585.000,Rua Venâncio Aires,55 m²,3 quartos,1 vaga, Perdizes
R$ 1.100.000,Rua Professor João Arruda,126 m²,3 quartos,2 vagas, Perdizes
R$ 1.380.000,Rua Doutor Homem de Melo,127 m²,2 quartos,1 vaga, Perdizes
R$ 890.000,Rua Professor João Arruda,103 m²,3 quartos,2 vagas, Perdizes
R$ 449.000,Avenida Francisco Matarazzo,65 m²,2 quartos,Sem vaga, Perdizes
R$ 700.000,Rua Diana,89 m²,2 quartos,1 vaga, Perdizes
R$ 2.520.000,Rua São Geraldo,216 m²,3 quartos,3 vagas, Perdizes
R$ 2.200.000,Rua Wanderley,278 m²,3 quartos,4 vagas, Perdizes
R$ 2.500.000,Rua Doutor Homem de Melo,257 m²,2 quartos,4 vagas, Perdizes
R$ 870.000,Rua dos Caetés,120 m²,3 quartos,2 vagas, Perdizes
R$ 750.000,Rua Monte Alegre,91 m²,2 quartos,1 vaga, Perdizes
R$ 1.200.000,Rua Ministro Godói,132 m²,2 quartos,1 vaga, Perdizes
R$ 639.000,Rua Professor João Arruda,67 m²,2 quartos,Sem vaga, Perdizes
R$ 850.000,Rua Doutor Homem de Melo,116 m²,3 quartos,Sem vaga, Perdizes
R$ 330.000,Rua Lavradio,52 m²,1 quarto,Sem vaga, Perdizes
R$ 1.280.000,Rua Cayowaá,130 m²,4 quartos,3 vagas, Perdizes
R$ 960.000,Rua Diana,85 m²,2 quartos,1 vaga, Perdizes
"R$ 1.104.339,13",Rua Diana,100 m²,2 quartos,2 vagas, Perdizes
R$ 780.000,Rua Cayowaá,84 m²,3 quartos,1 vaga, Perdizes
R$ 780.000,Rua Iperoig,94 m²,2 quartos,1 vaga, Perdizes
R$ 880.000,Rua Bartira,90 m²,2 quartos,1 vaga, Perdizes
R$ 900.000,Rua Apinajés,83 m²,1 quarto,Sem vaga, Perdizes
R$ 720.000,Rua Ministro Godói,77 m²,2 quartos,1 vaga, Perdizes
R$ 2.150.000,Rua Diana,223 m²,4 quartos,5 vagas, Perdizes
R$ 980.000,Rua Turiassu,121 m²,3 quartos,2 vagas, Perdizes
R$ 640.000,Rua Diana,86 m²,3 quartos,1 vaga, Perdizes
R$ 1.270.000,Rua Diana,151 m²,3 quartos,2 vagas, Perdizes
R$ 870.000,Rua Iperoig,95 m²,3 quartos,1 vaga, Perdizes
R$ 460.000,Rua Apiacás,50 m²,2 quartos,Sem vaga, Perdizes
R$ 490.000,Rua Iperoig,58 m²,2 quartos,Sem vaga, Perdizes
R$ 370.000,Rua Lavradio,63 m²,1 quarto,Sem vaga, Perdizes
R$ 340.000,Largo Padre Péricles,52 m²,1 quarto,Sem vaga, Perdizes
R$ 440.000,Rua Aimberê,67 m²,2 quartos,Sem vaga, Perdizes
R$ 600.000,Rua Cardoso de Almeida,70 m²,2 quartos,1 vaga, Perdizes
R$ 3.100.000,Rua Lincoln Albuquerque,246 m²,3 quartos,5 vagas, Perdizes
R$ 530.000,Rua Lavradio,100 m²,4 quartos,1 vaga, Perdizes
R$ 749.000,Rua Itapicuru,100 m²,3 quartos,1 vaga, Perdizes
R$ 730.000,Rua Itapicuru,84 m²,3 quartos,1 vaga, Perdizes
R$ 1.590.000,Rua Doutor Franco da Rocha,142 m²,4 quartos,3 vagas, Perdizes
R$ 1.150.000,Rua Cayowaá,114 m²,3 quartos,2 vagas, Perdizes
R$ 904.256,Rua Cardoso de Almeida,103 m²,3 quartos,1 vaga, Perdizes
R$ 600.000,Avenida Francisco Matarazzo,80 m²,2 quartos,1 vaga, Perdizes
R$ 870.000,Rua Apinajés,86 m²,3 quartos,2 vagas, Perdizes
R$ 689.900,Rua Caiubi,55 m²,2 quartos,2 vagas, Perdizes
R$ 870.000,Rua Tucuna,97 m²,3 quartos,2 vagas, Perdizes
R$ 605.000,Rua Padre Antônio Tomás,84 m²,2 quartos,1 vaga, Perdizes
R$ 750.000,Rua Cayowaá,87 m²,3 quartos,1 vaga, Perdizes
R$ 997.000,Rua Professor João Arruda,94 m²,3 quartos,2 vagas, Perdizes
R$ 463.500,Rua Turiassu,78 m²,2 quartos,Sem vaga, Perdizes
R$ 580.000,Avenida Francisco Matarazzo,65 m²,2 quartos,1 vaga, Perdizes
R$ 1.690.000,Rua Apinajés,225 m²,4 quartos,3 vagas, Perdizes
R$ 1.045.000,Rua Cardoso de Almeida,117 m²,3 quartos,1 vaga, Perdizes
R$ 2.650.000,Rua Cayowaá,248 m²,3 quartos,3 vagas, Perdizes
R$ 740.000,Rua Itapicuru,119 m²,3 quartos,1 vaga, Perdizes
R$ 660.000,Rua Venâncio Aires,101 m²,2 quartos,1 vaga, Perdizes
R$ 1.035.000,Rua Doutor Homem de Melo,108 m²,3 quartos,2 vagas, Perdizes
R$ 700.000,Rua Lavradio,110 m²,3 quartos,1 vaga, Perdizes
R$ 980.000,Rua Tagipuru,117 m²,1 quarto,1 vaga, Perdizes
R$ 770.000,Rua Tagipuru,108 m²,2 quartos,1 vaga, Perdizes
R$ 1.000.000,Avenida Professor Alfonso Bovero,115 m²,3 quartos,1 vaga, Perdizes
R$ 660.000,Rua Monte Alegre,98 m²,3 quartos,Sem vaga, Perdizes
R$ 1.250.000,Rua Cardoso de Almeida,134 m²,3 quartos,1 vaga, Perdizes
R$ 2.300.000,Rua Doutor Cândido Espinheira,300 m²,2 quartos,2 vagas, Perdizes
R$ 1.250.000,Rua Itapicuru,130 m²,3 quartos,2 vagas, Perdizes
R$ 850.000,Rua Caiubi,116 m²,3 quartos,1 vaga, Perdizes
R$ 469.000,Rua Caiubi,68 m²,2 quartos,Sem vaga, Perdizes
R$ 1.600.000,Rua Diana,227 m²,4 quartos,5 vagas, Perdizes
R$ 765.000,Rua Apiacás,86 m²,2 quartos,1 vaga, Perdizes
"R$ 547.003,93",Rua Apiacás,75 m²,2 quartos,1 vaga, Perdizes
R$ 1.700.000,Rua Monte Alegre,220 m²,3 quartos,2 vagas, Perdizes
R$ 830.000,Rua Diana,75 m²,2 quartos,2 vagas, Perdizes
R$ 840.000,Rua Professor João Arruda,94 m²,3 quartos,2 vagas, Perdizes
R$ 580.000,Rua Venâncio Aires,80 m²,2 quartos,1 vaga, Perdizes
R$ 1.750.000,Rua Aimberê,149 m²,3 quartos,3 vagas, Perdizes
R$ 560.000,Rua Monte Alegre,50 m²,2 quartos,1 vaga, Perdizes
"R$ 518.914,12",Rua Caiubi,85 m²,2 quartos,1 vaga, Perdizes
R$ 543.000,Rua Padre Antônio Tomás,74 m²,2 quartos,Sem vaga, Perdizes
R$ 780.000,Rua Monte Alegre,100 m²,3 quartos,2 vagas, Perdizes
R$ 730.000,Rua Ministro Godói,91 m²,2 quartos,1 vaga, Perdizes
R$ 1.225.000,Rua Wanderley,138 m²,3 quartos,2 vagas, Perdizes
R$ 690.000,Rua Doutor Franco da Rocha,78 m²,1 quarto,1 vaga, Perdizes
R$ 1.160.000,Rua João Ramalho,150 m²,4 quartos,3 vagas, Perdizes
R$ 680.000,Rua Barão de Tefé,106 m²,3 quartos,1 vaga, Perdizes
R$ 950.000,Rua Cardoso de Almeida,128 m²,3 quartos,1 vaga, Perdizes
R$ 450.000,Rua Aimberê,70 m²,2 quartos,Sem vaga, Perdizes
R$ 671.000,Rua Mário Sette,84 m²,3 quartos,1 vaga, Perdizes
R$ 850.000,Rua dos Caetés,107 m²,3 quartos,1 vaga, Perdizes
R$ 650.000,Rua Caiubi,73 m²,2 quartos,2 vagas, Perdizes
"R$ 4.152.736,4",Rua Monte Alegre,267 m²,3 quartos,4 vagas, Perdizes
R$ 2.900.000,Rua Desembargador do Vale,310 m²,4 quartos,4 vagas, Perdizes
R$ 860.000,Rua Professor João Arruda,94 m²,2 quartos,2 vagas, Perdizes
R$ 770.000,Rua Lavradio,119 m²,3 quartos,1 vaga, Perdizes
R$ 500.000,Rua Apinajés,84 m²,2 quartos,Sem vaga, Perdizes
R$ 2.100.000,Rua Wanderley,200 m²,4 quartos,3 vagas, Perdizes
"R$ 1.548.856,09",Rua João Ramalho,145 m²,4 quartos,2 vagas, Perdizes
R$ 1.100.000,Rua Caraíbas,113 m²,2 quartos,1 vaga, Perdizes
R$ 450.000,Rua Diana,65 m²,2 quartos,2 vagas, Perdizes
R$ 640.000,Rua Cayowaá,93 m²,3 quartos,1 vaga, Perdizes
R$ 650.000,Rua Tagipuru,78 m²,3 quartos,1 vaga, Perdizes
R$ 660.000,Rua Ministro Godói,91 m²,3 quartos,1 vaga, Perdizes
R$ 599.000,Rua Bartira,59 m²,2 quartos,1 vaga, Perdizes
R$ 1.300.000,Rua Ministro Godói,164 m²,3 quartos,3 vagas, Perdizes
R$ 1.270.000,Rua Turiassu,120 m²,3 quartos,2 vagas, Perdizes
R$ 2.100.000,Rua Cayowaá,264 m²,4 quartos,4 vagas, Perdizes
R$ 395.000,Avenida Francisco Matarazzo,81 m²,3 quartos,1 vaga, Perdizes
R$ 540.000,Rua Minerva,63 m²,2 quartos,1 vaga, Perdizes
R$ 910.000,Rua Monte Alegre,93 m²,3 quartos,1 vaga, Perdizes
R$ 650.000,Rua Cayowaá,127 m²,3 quartos,1 vaga, Perdizes
R$ 840.000,Rua Ministro Ferreira Alves,72 m²,2 quartos,1 vaga, Perdizes
R$ 1.070.000,Rua Ministro Godói,135 m²,3 quartos,2 vagas, Perdizes
R$ 555.000,Rua Palestra Itália,79 m²,2 quartos,Sem vaga, Perdizes
R$ 450.000,Rua das Perdizes,71 m²,2 quartos,Sem vaga, Perdizes
R$ 750.000,Rua Doutor Franco da Rocha,101 m²,3 quartos,1 vaga, Perdizes
R$ 2.883.000,Rua Iperoig,225 m²,4 quartos,5 vagas, Perdizes
R$ 779.000,Rua Bartira,97 m²,3 quartos,1 vaga, Perdizes
R$ 1.480.000,Rua Tucuna,154 m²,4 quartos,3 vagas, Perdizes
R$ 3.600.000,Rua Paraguassu,267 m²,4 quartos,5 vagas, Perdizes
R$ 850.000,Rua Ministro Godói,107 m²,3 quartos,1 vaga, Perdizes
R$ 782.100,Rua Coronel Melo de Oliveira,77 m²,1 quarto,2 vagas, Perdizes
R$ 1.550.000,Rua Doutor Homem de Melo,208 m²,3 quartos,1 vaga, Perdizes
R$ 760.000,Rua Tagipuru,104 m²,2 quartos,1 vaga, Perdizes
R$ 719.000,Rua Barão de Tefé,106 m²,3 quartos,1 vaga, Perdizes
R$ 1.490.000,Rua Monte Alegre,158 m²,3 quartos,2 vagas, Perdizes
R$ 3.600.000,Rua Aimberê,225 m²,3 quartos,5 vagas, Perdizes
"R$ 559.365,71",Rua Cayowaá,64 m²,2 quartos,1 vaga, Perdizes
R$ 1.500.000,Avenida Francisco Matarazzo,128 m²,3 quartos,2 vagas, Perdizes
R$ 525.000,Rua Apinajés,34 m²,1 quarto,1 vaga, Perdizes
R$ 390.000,Rua Amália Cerelo Godespoti,65 m²,2 quartos,1 vaga, Cidade Ademar
"R$ 576.200,28",Rua Iubatinga,70 m²,2 quartos,2 vagas, Vila Andrade
R$ 2.200.000,Rua Itambé 350,206 m²,3 quartos,1 vaga, Higienópolis
R$ 445.000,Praça Benedito Calixto,41 m²,1 quarto,Sem vaga, Pinheiros
R$ 445.000,Praça Benedito Calixto,41 m²,1 quarto,Sem vaga, Pinheiros
R$ 445.000,Praça Benedito Calixto,41 m²,1 quarto,Sem vaga, Pinheiros
R$ 445.000,Praça Benedito Calixto,41 m²,1 quarto,Sem vaga, Pinheiros
R$ 445.000,Praça Benedito Calixto,40 m²,1 quarto,Sem vaga, Pinheiros
R$ 445.000,Praça Benedito Calixto,40 m²,1 quarto,Sem vaga, Pinheiros
R$ 445.000,Praça Benedito Calixto,40 m²,1 quarto,Sem vaga, Pinheiros
R$ 445.000,Praça Benedito Calixto,40 m²,1 quarto,Sem vaga, Pinheiros
R$ 445.000,Praça Benedito Calixto,40 m²,1 quarto,Sem vaga, Pinheiros
R$ 445.000,Praça Benedito Calixto,41 m²,Studio,Sem vaga, Pinheiros
R$ 760.000,Avenida Rebouças,134 m²,2 quartos,1 vaga, Pinheiros
R$ 1.115.000,Rua Francisco Leitão,120 m²,2 quartos,2 vagas, Pinheiros
R$ 1.350.000,Rua Joaquim Antunes,107 m²,3 quartos,1 vaga, Pinheiros
R$ 445.000,Praça Benedito Calixto,40 m²,1 quarto,Sem vaga, Pinheiros
R$ 780.000,Rua Lisboa,76 m²,2 quartos,1 vaga, Pinheiros
R$ 730.000,Rua Doutor Virgílio de Carvalho Pinto,40 m²,1 quarto,1 vaga, Pinheiros
R$ 1.280.000,Rua Cristiano Viana,127 m²,3 quartos,2 vagas, Pinheiros
R$ 1.600.000,Rua Pais Leme,88 m²,2 quartos,2 vagas, Pinheiros
R$ 867.000,Rua Alves Guimarães,113 m²,3 quartos,1 vaga, Pinheiros
R$ 1.682.000,Rua Capitão Prudente,129 m²,3 quartos,1 vaga, Pinheiros
R$ 735.000,Rua Capote Valente,42 m²,1 quarto,1 vaga, Pinheiros
R$ 2.004.000,Rua Cônego Eugênio Leite,155 m²,2 quartos,3 vagas, Pinheiros
R$ 1.230.000,Rua Cônego Eugênio Leite,113 m²,2 quartos,1 vaga, Pinheiros
R$ 1.650.000,Rua Alves Guimarães,128 m²,2 quartos,2 vagas, Pinheiros
R$ 1.069.000,Rua João Moura,87 m²,3 quartos,1 vaga, Pinheiros
R$ 1.230.000,Rua Cristiano Viana,70 m²,2 quartos,2 vagas, Pinheiros
R$ 1.300.000,Rua Francisco Leitão,105 m²,2 quartos,2 vagas, Pinheiros
R$ 2.850.000,Rua Doutor Virgílio de Carvalho Pinto,183 m²,3 quartos,3 vagas, Pinheiros
R$ 1.900.000,Rua Mateus Grou,176 m²,3 quartos,3 vagas, Pinheiros
R$ 800.000,Avenida Rebouças,90 m²,2 quartos,1 vaga, Pinheiros
R$ 1.180.000,Rua Arruda Alvim,88 m²,1 quarto,2 vagas, Pinheiros
R$ 920.000,Avenida Eusébio Matoso,48 m²,1 quarto,1 vaga, Pinheiros
R$ 750.000,Rua Eugênio de Medeiros,39 m²,1 quarto,1 vaga, Pinheiros
R$ 1.800.000,Rua Fradique Coutinho,100 m²,2 quartos,2 vagas, Pinheiros
R$ 1.600.000,Rua Alves Guimarães,129 m²,3 quartos,2 vagas, Pinheiros
R$ 570.000,Rua Maria Carolina,25 m²,1 quarto,1 vaga, Pinheiros
R$ 478.000,Rua Cardeal Arcoverde,42 m²,1 quarto,1 vaga, Pinheiros
R$ 1.700.000,Rua Pais Leme,77 m²,2 quartos,1 vaga, Pinheiros
R$ 699.000,Rua Sebastião Gil,39 m²,1 quarto,1 vaga, Pinheiros
R$ 560.000,Rua Maria Carolina,25 m²,Studio,1 vaga, Pinheiros
R$ 900.000,Rua Eugênio de Medeiros,55 m²,1 quarto,2 vagas, Pinheiros
R$ 2.450.000,Rua Galeno de Almeida,140 m²,3 quartos,4 vagas, Pinheiros
R$ 1.200.000,Avenida Eusébio Matoso,46 m²,1 quarto,1 vaga, Pinheiros
R$ 1.200.000,Rua Teodoro Sampaio,115 m²,3 quartos,1 vaga, Pinheiros
R$ 1.180.000,Rua Teodoro Sampaio,114 m²,3 quartos,2 vagas, Pinheiros
R$ 1.290.000,Rua Teodoro Sampaio,120 m²,3 quartos,1 vaga, Pinheiros
R$ 690.000,Rua Maria Carolina,37 m²,1 quarto,1 vaga, Pinheiros
R$ 432.000,Rua Teodoro Sampaio,30 m²,1 quarto,1 vaga, Pinheiros
R$ 740.000,Rua Artur de Azevedo,54 m²,2 quartos,1 vaga, Pinheiros
R$ 630.000,Rua Maria Carolina,37 m²,1 quarto,1 vaga, Pinheiros
R$ 1.120.000,Rua Tavares Cabral,72 m²,2 quartos,2 vagas, Pinheiros
R$ 1.280.000,Rua João Moura,84 m²,2 quartos,2 vagas, Pinheiros
R$ 980.000,Rua Cristiano Viana,73 m²,2 quartos,1 vaga, Pinheiros
R$ 1.090.000,Rua Maria Carolina,55 m²,1 quarto,1 vaga, Pinheiros
R$ 900.000,Rua Doutor Virgílio de Carvalho Pinto,62 m²,1 quarto,2 vagas, Pinheiros
R$ 950.000,Rua Fernão Dias,57 m²,1 quarto,1 vaga, Pinheiros
R$ 2.800.000,Rua Maria Carolina,229 m²,3 quartos,2 vagas, Pinheiros
R$ 1.950.000,Rua Joaquim Antunes,181 m²,3 quartos,3 vagas, Pinheiros
R$ 630.000,Rua Lisboa,37 m²,1 quarto,1 vaga, Pinheiros
R$ 1.100.000,Rua Cardeal Arcoverde,69 m²,2 quartos,1 vaga, Pinheiros
R$ 480.000,Rua Cristiano Viana,25 m²,1 quarto,Sem vaga, Pinheiros
R$ 1.450.000,Avenida Eusébio Matoso,85 m²,2 quartos,2 vagas, Pinheiros
R$ 1.017.722,Rua Eugênio de Medeiros,56 m²,1 quarto,2 vagas, Pinheiros
R$ 650.000,Rua Lisboa,33 m²,1 quarto,1 vaga, Pinheiros
R$ 1.300.000,Rua João Moura,59 m²,2 quartos,1 vaga, Pinheiros
R$ 1.020.000,Rua Maria Carolina,55 m²,2 quartos,1 vaga, Pinheiros
R$ 1.150.000,Rua Pais Leme,73 m²,2 quartos,1 vaga, Pinheiros
R$ 420.000,Rua Cristiano Viana,25 m²,1 quarto,Sem vaga, Pinheiros
R$ 1.090.000,Rua Cristiano Viana,70 m²,2 quartos,2 vagas, Pinheiros
R$ 740.000,Avenida Rebouças,40 m²,Studio,1 vaga, Pinheiros
R$ 1.000.000,Rua Joaquim Antunes,78 m²,2 quartos,1 vaga, Pinheiros
R$ 1.350.000,Rua Jorge Rizzo,110 m²,2 quartos,2 vagas, Pinheiros
R$ 1.435.000,Rua Pais Leme,87 m²,3 quartos,2 vagas, Pinheiros
R$ 1.300.000,Rua Cristiano Viana,107 m²,3 quartos,1 vaga, Pinheiros
R$ 1.450.000,Rua Fradique Coutinho,110 m²,3 quartos,2 vagas, Pinheiros
